competencia,cod_municipio,CNES,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,leitos,leitos_sus,leitos_uti,leitos_uti_sus,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS,flag_inconsistencia
202510,220060,2323893,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220140,2323907,M,15,UNIDADE MISTA,1031,HOSPITAL_PÚBLICO,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220120,2323915,M,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220020,2323923,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220510,2323931,M,05,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220980,2323966,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221070,2324040,D,05,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220040,2324075,M,05,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220590,2324121,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220280,2324148,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220370,2324156,E,05,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220610,2324164,D,15,UNIDADE MISTA,1031,HOSPITAL_PÚBLICO,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220230,2324172,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221050,2324199,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220277,2324202,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220970,2324210,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220225,2324245,D,15,UNIDADE MISTA,1031,HOSPITAL_PÚBLICO,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220470,2324253,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221040,2324261,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220580,2324288,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220330,2324334,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221090,2324369,D,15,UNIDADE MISTA,1031,HOSPITAL_PÚBLICO,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220300,2324431,E,15,UNIDADE MISTA,1023,HOSPITAL_PÚBLICO,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220420,2324504,D,15,UNIDADE MISTA,1031,HOSPITAL_PÚBLICO,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
